ID,Area,Stories,Year Built,type ID,Latitude,Longitude
1,567.77,4,2000,10,127.0887554,37.51767963
2,100151.5,4,1984,12,127.0759577,37.51620688
3,26095.87,4,1979,12,127.0740793,37.51702598
4,419.1,1,1985,10,127.0764392,37.5167078
5,22479.34,4,1980,12,127.0761103,37.51444669
6,21.2,1,2016,12,127.0764036,37.51369354
7,140,1,1986,10,127.0762201,37.51319343
8,1487.94,3,1973,12,127.0765831,37.51346602
9,11471.12,4,1984,12,127.0753286,37.51219361
10,10228.72,23,2008,2,127.0837902,37.51491966
11,7177.84,24,2008,2,127.0808822,37.51380982
12,6224.01,28,2008,2,127.0818074,37.51262511
13,5780.15,26,2008,2,127.0805376,37.51320197
14,10228.19,27,2008,2,127.0819793,37.51319162
15,5336.29,24,2008,2,127.0845022,37.51310401
16,8402.57,29,2008,2,127.0841933,37.51520256
17,10706.15,25,2008,2,127.0845665,37.51354816
18,7506.59,26,2008,2,127.0839586,37.51594929
19,11826.07,28,2008,2,127.0812807,37.51298054
20,7177.84,24,2008,2,127.0824844,37.5133331
21,5780.15,26,2008,2,127.0821329,37.51272868
22,4219.97,25,2008,2,127.0841185,37.51364434
23,10168.52,26,2008,2,127.0809453,37.5127657
24,4670.5,21,2008,2,127.0837698,37.51332347
25,10228.72,23,2008,2,127.0831024,37.5151371
26,9669.46,26,2008,2,127.0827354,37.51294117
27,7489.74,20,2008,2,127.0831698,37.51359896
28,10228.72,23,2008,2,127.084077,37.51556728
29,10228.19,27,2008,2,127.0812152,37.5134191
30,7506.59,26,2008,2,127.0836549,37.51529232
31,10733.16,25,2008,2,127.0816659,37.51556128
32,2872.77,17,2008,2,127.0828759,37.51260248
33,9669.46,26,2008,2,127.0833004,37.51312269
34,9669.46,26,2008,2,127.0836176,37.51380218
35,10706.15,25,2008,2,127.0798034,37.51235435
36,7177.84,24,2008,2,127.0816272,37.51358812
37,8888.8,24,2008,2,127.0834914,37.5127263
38,7711.67,21,2008,2,127.0834386,37.51417397
39,10168.52,26,2008,2,127.0801763,37.51299129
40,5780.15,26,2008,2,127.0806884,37.51232358
41,11177.02,26,2008,2,127.083969,37.51292662
42,5588.51,26,2008,2,127.083934,37.51447095
43,12446.63,29,2008,2,127.081618,37.51227916
44,11326.71,26,2008,2,127.0843459,37.51438885
45,10228.19,27,2008,2,127.0804449,37.51364685
46,10891.59,25,2008,2,127.0781274,37.51512214
47,11640.63,28,2008,2,127.0783263,37.51446464
48,4388.37,26,2008,2,127.0791621,37.51268679
49,4035,19,2008,2,127.079655,37.51612061
50,12730.53,30,2008,2,127.0804137,37.51566952
51,8593.83,21,2008,2,127.0789421,37.51237636
52,11399.18,30,2008,2,127.0798644,37.5144858
53,9677.5,30,2008,2,127.079612,37.51394158
54,9623.51,23,2008,2,127.0806116,37.51527376
55,5588.51,26,2008,2,127.079983,37.5133665
56,9401.58,22,2008,2,127.0800637,37.5141067
57,8897.14,20,2008,2,127.0790853,37.5136546
58,4892.43,22,2008,2,127.0794607,37.51424541
59,4004.71,18,2008,2,127.0794492,37.51559583
60,9784.86,22,2008,2,127.078998,37.51438176
61,11390.95,27,2008,2,127.0784741,37.51376835
62,9677.5,30,2008,2,127.0801253,37.51504613
63,10289.3,24,2008,2,127.083382,37.51580166
64,8897.14,20,2008,2,127.0799204,37.51547965
65,9113.54,27,2008,2,127.0794079,37.51327399
66,9401.58,22,2008,2,127.0803368,37.51469289
67,9895.87,34,2008,2,127.082975,37.51555714
68,8498.7,26,2008,2,127.0795402,37.51280034
69,8402.57,29,2008,2,127.0815629,37.51596743
70,9784.86,22,2008,2,127.0796385,37.51487644
71,10733.16,25,2008,2,127.0823839,37.51534914
72,11842.81,28,2008,2,127.080956,37.51600811
73,9784.86,22,2008,2,127.0790428,37.51505261
74,4035,19,2008,2,127.0790463,37.51302762
75,5336.29,24,2008,2,127.0826147,37.51591112
76,10769.43,26,2008,2,127.0786028,37.51309035
77,9623.51,24,2008,2,127.0801606,37.51607424
78,5558.22,25,2008,2,127.0785529,37.51520646
79,9597.21,33,2008,2,127.082268,37.51580179
80,5144.65,24,2008,2,127.0842118,37.51257921
81,10456.47,24,2008,2,127.0847924,37.51268422
82,13721.85,6,2008,12,127.0813763,37.51507989
83,9272.46,6,2011,12,127.0825576,37.51451993
84,10515.29,4,1975,12,127.0777981,37.51610408
85,1273.17,4,2009,12,127.0824769,37.51212973
86,593.61,3,2009,10,127.0827498,37.51209206
87,3354.3,7,2008,11,127.0830577,37.51211924
88,30645.75,8,2008,10,127.0842017,37.51208934
89,605.7,2,2008,12,127.0905734,37.51350594
90,8550.27,27,2008,2,127.0893981,37.51593249
91,9820.69,31,2008,2,127.0904713,37.51513259
92,9219.55,31,2008,2,127.0890705,37.51636701
93,7006.08,25,2008,2,127.0906798,37.5156533
94,10453.47,33,2008,2,127.0905118,37.51612239
95,8808.76,30,2008,2,127.0912933,37.51225725
96,4816.06,21,2008,2,127.0883455,37.5130508
97,4816.06,21,2008,2,127.0890124,37.51322321
